"Qty";"Value";"Device";"Package";"Parts";"Description";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"AVAILABILITY";"COPYRIGHT";"DESCRIPTION";"DKPN";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MFPN";"MFR_NAME";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"POPULARITY";"PRICE";"PROD_ID";"SF_SKU";"SPICEPREFIX";
"1";"0.33R";"R-EU_R0603";"R0603";"R19";"RESISTOR, European symbol";"";"";"";"";"";"P17485CT-ND";"";"";"";"";"ERJ-3BWJR033V";"";"";"";"";"";"";"";"";"70";"";"";"";"R";
"1";"0ZCG0160BF2C";"0ZCG0160BF2C";"0ZCG_BEL";"F1";"";"";"";"";"Copyright (C) 2021 Ultra Librarian. All rights reserved.";"";"507-1776-1-ND";"";"";"0ZCG0160BF2C";"";"0ZCG0160BF2C";"Belfuse";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"100R";"R-EU_R0603";"R0603";"R14";"RESISTOR, European symbol";"";"";"";"";"";"311-100GRCT-ND";"";"";"";"";"RC0603JR-07100RL";"";"";"";"";"";"";"";"";"70";"";"";"";"R";
"3";"100nF";"C-EUC0603";"C0603";"C3, C4, C5";"CAPACITOR, European symbol";"";"";"";"";"";"1276-1935-1-ND";"";"";"";"";"CL10B104KB8NNWC";"";"";"";"";"";"";"";"";"";"";"";"";"C";
"1";"100uF";"CPOL-US153CLV-0605";"153CLV-0605";"C8";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";"2616-VE-101M1CTR-0605S-ND";"";"";"";"";"VE-101M1CTR-0605S";"";"";"";"";"";"";"";"";"8";"";"";"";"C";
"4";"10k";"R-EU_R0603";"R0603";"R15, R21, R22, R23";"RESISTOR, European symbol";"";"";"";"";"";"13-RC0603JR-1010KLCT-ND";"";"";"";"";"RC0603JR-1010KL";"";"";"";"";"";"";"";"";"70";"";"";"";"R";
"1";"220uH";"1010_INDUCTOR";"1010_INDUCTOR";"U$2";"";"";"";"";"";"";"732-4110-1-ND";"";"";"";"";"7447714221";"";"";"";"";"";"";"";"";"";"";"";"";"";
"15";"330R";"R-EU_R0603";"R0603";"R1, R2, R3, R4, R5, R6, R7, R8, R9, R10, R11, R12, R13, R17, R18";"RESISTOR, European symbol";"";"";"";"";"";"311-330GRCT-ND";"";"";"";"";"RC0603JR-07330RL";"";"";"";"";"";"";"";"";"70";"";"";"";"R";
"1";"470pF";"C-EUC0603";"C0603";"C7";"CAPACITOR, European symbol";"";"";"";"";"";"1276-1094-1-ND";"";"";"";"";"CL10B471KB8NNNC";"";"";"";"";"";"";"";"";"73";"";"";"";"C";
"1";"680uF";"CPOL-US153CLV-0605";"153CLV-0605";"C6";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";"565-5128-1-ND";"";"";"";"";"EMZR6R3ARA681MF80G";"";"";"";"";"";"";"";"";"8";"";"";"";"C";
"1";"8k2";"R-EU_R0603";"R0603";"R20";"RESISTOR, European symbol";"";"";"";"";"";"311-8.2KGRCT-ND";"";"";"";"";"RC0603JR-078K2L";"";"";"";"";"";"";"";"";"70";"";"";"";"R";
"2";"DCJ0202";"DCJ0202";"DCJ0202";"J1, J2";"DC POWER JACK";"";"";"";"";"";"2092-KLDX-0202-BC-ND";"";"";"";"";"KLDX-0202-BC";"";"";"";"";"";"unknown";"unknown";"";"17";"";"";"";"";
"1";"ESP32-WROOM-32D";"ESP32-WROOM-32D";"MODULE_ESP32-WROOM-32D";"U1";"IC: SoC; GPIO, I2C, I2S, IR, SD, SDIO, SPI, UART; 2.7÷3.6VDC; 20dBm";"";"";"Unavailable";"";" IC: SoC";" GPIO, I2C, I2S, IR, SD, SDIO, SPI, UART";" 2.7÷3.6VDC";" 20dBm ";"1965-ESP32-WROOM-32E-H4CT-ND";"";"";"";"Espressif Systems";"ESP32-WROOM-32E-H4";"";"";"";"ESP32-WROOM-32D";"";"";"";"Module Espressif Systems";"";"None";
"2";"GREEN";"LEDCHIP-LED0603";"CHIP-LED0603";"LED1, LED2";"LED";"";"";"";"";"";"732-4980-1-ND";"";"";"";"";"150060VS75000";"";"";"";"";"";"";"";"";"26";"";"";"";"";
"1";"MC34063AD";"MC34063AD";"SOIC127P600X175-8N";"IC1";"Step up/down converter,MC34063AD 98pcs";"MC34063AD";"https://www.arrow.com/en/products/mc34063ad/on-semiconductor";"";"";"Step up/down converter,MC34063AD 98pcs";"MC34063ADR2GOSCT-ND";"1.75mm";"ON Semiconductor";"MC34063AD";"";"MC34063ADR2G";"";"512-MC34063AD";"http://www.mouser.com/Search/ProductDetail.aspx?qs=qJQOsIEC8WHIuBHtgH5ZSQ%3d%3d";"";"";"";"";"";"";"";"";"";"";
"1";"PROG";"PINHD-1X6";"1X06";"JP1";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"79";"";"";"";"";
"1";"SCHOTTKY-1N5819HW-7-F";"SCHOTTKY-1N5819HW-7-F";"SOD123";"D1";"";"";"";"";"";"";"1N5819HW-FDICT-ND";"";"";"";"";"1N5819HW-7-F";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"TDCG1060M";"TDCG1060M";"TDCG1060M";"U$1";"";"";"";"";"";"";"TDCG1060M-ND";"";"";"";"";"TDCG1060M";"";"";"";"";"";"";"";"";"";"";"";"";"";
"5";"UM2222AU3T106";"NPNSOT323";"SOT323";"T1, T2, T3, T4, T5";"NPN TRANSISTOR";"";"";"";"";"";"846-UM2222AU3T106CT-ND";"";"";"";"";"UM2222AU3T106";"";"";"";"";"DSS4160U-7";"1710696";"25R4558";"";"2";"";"";"";"";
"1";"ZXMN4A06GTA";"ZXMN4A06GTA";"SOT230P700X180-4N";"Q1";"MOSFET 40V N-Chnl UMOS";"ZXMN4A06GTA";"https://www.arrow.com/en/products/zxmn4a06gta/diodes-incorporated?region=nac";"";"";"MOSFET 40V N-Chnl UMOS";"ZXMN4A06GCT-ND";"1.8mm";"Diodes Inc.";"ZXMN4A06GTA";"";"ZXMN4A06GTA";"";"522-ZXMN4A06GTA";"https://www.mouser.co.uk/ProductDetail/Diodes-Incorporated/ZXMN4A06GTA?qs=rI7uf1IzohTuiF7NiXeyvA%3D%3D";"";"";"";"";"";"";"";"";"";"";
"5";"tact";"MOMENTARY-SWITCH-SPST-PTH-6.0MM";"TACTILE_SWITCH_PTH_6.0MM";"S_DOWN, S_LEFT, S_RIGHT, S_RST, S_UP";"Momentary Switch (Pushbutton) - SPST";"";"";"";"";"";"2223-TS02-66-60-BK-100-LCR-D-ND";"";"";"";"";"TS02-66-60-BK-100-LCR-D";"";"";"";"";"";"";"";"";"";"";" SWCH-08441";"COM-00097";"";
